S01-S1.1-M-51;S01-S1.2-M-51;S01-S2.1-M-51;S01-S2.2-M-51
;2140;;2244
;2168;;2228
;2188;;2204
;2196;;2184
;2192;;2164
;2180;;2144
;2160;;2132
;2140;;2124
;2120;;2116
;2100;;2108
;2084;;2100
;2072;;2092
;2068;;2080
;2060;;2068
;2056;;2052
;2048;;2036
;2040;;2016
;2032;;2000
;2020;;1984
;2008;;1964
;1996;;1948
;1980;;1932
;1968;;1920
;1952;;1904
;1940;;1896
;1924;;1888
;1912;;1888
;1896;;1900
;1884;;1928
;1872;;1968
;1860;;2020
;1852;;2080
;1848;;2140
;1852;;2200
;1868;;2248
;1896;;2288
;1940;;2324
;1992;;2344
;2044;;2360
;2096;;2360
;2140;;2352
;2172;;2332
;2196;;2312
;2208;;2284
;2208;;2260
;2196;;2240
;2176;;2224
;2152;;2208
;2128;;2196
;2104;;2184
;2084;;2168
;2072;;2152
;2060;;2136
;2056;;2116
;2048;;2096
;2044;;2076
;2040;;2056
;2032;;2032
;2020;;2012
;2008;;1992
;1996;;1972
;1980;;1952
;1968;;1936
;1952;;1920
;1940;;1908
;1932;;1896
;1920;;1896
;1912;;1904
;1904;;1924
;1900;;1964
;1892;;2012
;1892;;2068
;1896;;2128
;1908;;2184
;1936;;2232
;1972;;2276
;2016;;2312
;2068;;2336
;2116;;2352
;2156;;2356
;2188;;2348
;2212;;2328
;2224;;2304
;2224;;2276
;2212;;2252
;2196;;2228
;2172;;2208
;2148;;2192
;2128;;2176
;2108;;2160
;2096;;2144
;2088;;2128
;2080;;2108
;2076;;2088
;2068;;2068
;2064;;2044
;2056;;2020
;2044;;2000
;2032;;1976
;2020;;1956
;2004;;1940
;1988;;1920
;1976;;1904
;1960;;1888
;1944;;1876
;1932;;1864
;1920;;1852
;1908;;1840
;1896;;1836
;1892;;1844
